"Banque","Type","Longitude","Latitude","Adresse"
"banque_populaire","cooperative",4.078809,48.298315,"16, pl de la Libération10000 TROYES"
"banque_populaire","cooperative",4.053131,48.310059,"199 bis, ave du Général Leclerc10000 TROYES"
"banque_populaire","cooperative",2.76166,43.200797,"26, AVENUE WILSON11200 LEZIGNAN CORBIERES"
"banque_populaire","cooperative",3.007621,43.182551,"16, BOULEVARD GAMBETTA11100 NARBONNE"
"banque_populaire","cooperative",3.034242,43.180525,"12, RUE ERNEST COGNACQZAC DE BONNE SOURCE11100 NARBONNE"
"banque_populaire","cooperative",2.382524,43.208657,"7, Avenue du Souvenir Français11000 CARCASSONNE"
"banque_populaire","cooperative",2.114876,43.24322,"11, ave du Général de Gaulle11150 BRAM"
"banque_populaire","cooperative",2.354552,43.212693,"10, rue de Verdun11002 CARCASSONNE"
"banque_populaire","cooperative",2.386955,43.208437,"Rue Camille FlammarionAve Souvenir Français11000 CARCASSONNE"
"banque_populaire","cooperative",2.367196,43.234281,"13, rue de MagellanZI Pont Rouge11000 CARCASSONNE"
"banque_populaire","cooperative",2.350535,43.2076,"28, rue J-F Dupleix11000 CARCASSONNE"
"banque_populaire","cooperative",2.336121,43.223026,"169, ave F. Roosevelt11000 CARCASSONNE"
"banque_populaire","cooperative",2.354552,43.212693,"10, rue de Verdun11000 CARCASSONNE"
"banque_populaire","cooperative",1.955018,43.317396,"33, rue de Dunkerque11400 CASTELNAUDARY"
"banque_populaire","cooperative",3.052303,43.230158,"30, Avenue de Toulouse11110 COURSAN"
"banque_populaire","cooperative",2.221166,42.933912,"2, pl de la République11260 ESPERAZA"
"banque_populaire","cooperative",3.030069,42.933992,"Ctre Cial CARREFOUR11370 LEUCATE"
"banque_populaire","cooperative",2.757925,43.200819,"19, cours de la République11200 LEZIGNAN CORBIERES"
"banque_populaire","cooperative",2.753582,43.186945,"2, rue des Romains ZI des Corbières11200 LEZIGNAN"
"banque_populaire","cooperative",2.214439,43.056727,"20, avenue du Pont de France11300 LIMOUX"
"banque_populaire","cooperative",2.985996,43.189365,"110, ave Anatole France11100 NARBONNE"
"banque_populaire","cooperative",2.989798,43.170173,"St CrescentAve d'Espagne-Centre d''affaires11100 NARBONNE"
"banque_populaire","cooperative",3.006249,43.182439,"35, cours de la République11100 NARBONNE"
"banque_populaire","cooperative",3.171211,43.164641,"Ave d'EspagneCtre d'Affaires St Crescent11100 NARBONNE"
"banque_populaire","cooperative",3.017815,43.180091,"25, ave Maître Hubert Mouly11100 NARBONNE"
"banque_populaire","cooperative",3.046425,43.020063,"193, bd du Monument aux Morts11210 PORT LA NOUVELLE"
"banque_populaire","cooperative",3.046425,43.020063,"193, boulevard du Monument aux morts11210 PORT LA NOUVELLE"
"banque_populaire","cooperative",2.183469,42.875506,"5, bd Jean Jaurès11500 QUILLAN"
"banque_populaire","cooperative",2.586919,43.282047,"6, pl du Général Bousquet11160 RIEUX MINERVOIS"
"banque_populaire","cooperative",2.9763,43.02085,"73, rte de Narbonne11130 SIGEAN"
"banque_populaire","cooperative",2.443106,43.209839,"2, ave Pierre Curie11800 TREBES"
"banque_populaire","cooperative",2.434105,44.277076,"264, ave du Centre12160 BARAQUEVILLE"
"banque_populaire","cooperative",2.078337,44.576668,"12, ave Charles de Gaulle12700 CAPDENAC GARE"
"banque_populaire","cooperative",2.25619,44.556911,"9, rue Cabrol12300 DECAZEVILLE"
"banque_populaire","cooperative",2.764419,44.523597,"13, bd de Guizard12500 ESPALION"
"banque_populaire","cooperative",2.558527,44.294933,"21, ave de Rodez12450 LA PRIMAUBE"
"banque_populaire","cooperative",2.851378,44.682356,"Route Nationale12210 LAGUIOLE"
"banque_populaire","cooperative",3.079466,44.100875,"1, rue du Sacré Coeur12100 MILLAU"
"banque_populaire","cooperative",3.079466,44.100875,"1, rue du Sacré Coeur12100 MILLAU"
"banque_populaire","cooperative",3.07399,44.094292,"Pl des Martyrs de la Résistance12100 MILLAU"
"banque_populaire","cooperative",2.587481,44.366019,"Rte d'Espalion12850 ONET LE CHATEAU"
"banque_populaire","cooperative",2.729292,44.279283,"Rue de l'Eglise12290 PONT DE SALARS"
"banque_populaire","cooperative",2.537126,44.032464,"4, bd Vicomte de Cadars12170 REQUISTA"
"banque_populaire","cooperative",2.241033,44.308924,"9, ave de Rouergue12240 RIEUPEYROUX"
"banque_populaire","cooperative",2.293481,44.409839,"44, ave de la Promenade12390 RIGNAC"
"banque_populaire","cooperative",2.556924,44.359427,"210, ave de Bourran12000 RODEZ"
"banque_populaire","cooperative",2.556924,44.359427,"210, ave de Bourran12000 RODEZ"
"banque_populaire","cooperative",2.576229,44.350744,"2, pl de la Cité12000 RODEZ"
"banque_populaire","cooperative",3.058912,44.32539,"Ave Pierre Semard12150 SEVERAC LE CHATEAU"
"banque_populaire","cooperative",2.885144,43.958307,"2, rue Gaston Delure12400 ST AFFRIQUE"
"banque_populaire","cooperative",2.972352,44.465956,"13, rue de l'Hôtel de Ville12130 ST GENIEZ D'OLT"
"banque_populaire","cooperative",2.836908,43.944998,"Parc d'Activités du Bourguet12400 VABRES L'ABBAYE"
"banque_populaire","cooperative",2.036231,44.349809,"Promenade du Guiraudet12200 VILLEFRANCHE DE ROUERGUE"
"banque_populaire","cooperative",2.008862,44.360592,"Rte de Montauban12200 VILLEFRANCHE DE ROUERGUE"
"banque_populaire","cooperative",5.45461,43.524345,"6 bis, cours Gambetta13100 AIX EN PROVENCE"
"banque_populaire","cooperative",5.38037,43.485543,"1140, rue André AmpèreZI Actimart13290 AIX EN PROVENCE"
"banque_populaire","cooperative",5.449768,43.526661,"36, Cours Mirabeau13090 AIX EN PROVENCE"
"banque_populaire","cooperative",5.446017,43.532824,"1, ave Pasteur13100 AIX EN PROVENCE"
"banque_populaire","cooperative",5.441891,43.527764,"14, bd de la République13100 AIX EN PROVENCE"
"banque_populaire","cooperative",5.488435,43.35716,"Immeuble Les SantonniersAve Leï Rima13190 ALLAUCH"
"banque_populaire","cooperative",4.628594,43.675565,"8, bd des Lices13200 ARLES"
"banque_populaire","cooperative",4.626254,43.674908,"5, boulevard Georges Clémenceau13200 ARLES"
"banque_populaire","cooperative",5.595257,43.29772,"100, Impasse des MartinetsRoute de Gémenos13400 AUBAGNE"
"banque_populaire","cooperative",5.569443,43.300301,"17, ave Roger Salengro13400 AUBAGNE"
"banque_populaire","cooperative",5.645099,43.369512,"Ctre Le Pujol 2Les Artauds Est13390 AURIOL"
