"Banque","Type","Adresse"
"Société Générale","Lucrative","67 BD PERIER13008 MARSEILLE"
"Société Générale","Lucrative","467 AV DU PRADO13008 MARSEILLE"
"Société Générale","Lucrative","15-17 LA CANEBIERE13001 MARSEILLE"
"Société Générale","Lucrative","7 BD DE DUNKERQUE13002 MARSEILLE"
"Société Générale","Lucrative","AV DES PEINTRES ROUX13011 MARSEILLE"
"Société Générale","Lucrative","109 RUE EMILE ZOLA13009 MARSEILLE"
"Société Générale","Lucrative","2 CRS PIERRE PUGET13006 MARSEILLE"
"Société Générale","Lucrative","305 AV DU PRADO13008 MARSEILLE"
"Société Générale","Lucrative","101 RUE MONTAIGNE13012 MARSEILLE"
"Société Générale","Lucrative","147 AV 24 AVRIL 191513012 MARSEILLE"
"Société Générale","Lucrative","85 BD DE SAINT-LOUP13010 MARSEILLE"
"Société Générale","Lucrative","111 CHE DE CH GOMBERT13013 MARSEILLE"
"Société Générale","Lucrative","325 AV DE MAZARGUES13008 MARSEILLE"
"Société Générale","Lucrative","9 PL SEBASTOPOL13004 MARSEILLE"
"Société Générale","Lucrative","36 BD STE MARGUERITE13009 MARSEILLE"
"Société Générale","Lucrative","56 QU GENERAL LECLERC13500 MARTIGUES"
"Société Générale","Lucrative","32 AV CH. DE GAULLE13140 MIRAMAS"
"Société Générale","Lucrative","RTE DEPARTEMENTAL 57213330 PELISSANNE"
"Société Générale","Lucrative","RTE DE TRETS RD613790 PEYNIER"
"Société Générale","Lucrative","CTRE CIAL BARNEOUD13170 LES PENNES-MIRABEAU"
"Société Générale","Lucrative","LE MAIL CHARLES DE GAULL13380 PLAN DE CUQUES"
"Société Générale","Lucrative","32 AV DU PORT13230 PORT ST LOUIS R."
"Société Générale","Lucrative","14 BD VICTOR HUGO13210 ST REMY DE PROVENCE"
"Société Générale","Lucrative","14 BD DE LA REPUBLIQUE13300 SALON PROVENCE"
"Société Générale","Lucrative","645 AV DU 22 AOUT 194413300 SALON DE PROVENCE"
"Société Générale","Lucrative","16 AVENUE DE LA REPUBLIQUE13310 ST MARTIN DE CRAU"
"Société Générale","Lucrative","21 CRS ARISTIDE BRIAND13150 TARASCON"
"Société Générale","Lucrative","AV DE LA GRANDE BEGUDE13770 VENELLES"
"Société Générale","Lucrative","RPT DE LA PIERRE PLANTEE13127 VITROLLES"
"Société Générale","Lucrative","12 BD DELEAN14370 ARGENCES"
"Société Générale","Lucrative","26 RUE SAINT-MALO14400 BAYEUX"
"Société Générale","Lucrative","24 AV DE LA MER14390 CABOURG"
"Société Générale","Lucrative","42 RUE NICOLAS ORESME14000 CAEN"
"Société Générale","Lucrative","7 BD MARECHAL JUIN14000 CAEN"
"Société Générale","Lucrative","7 BD MARECHAL JUIN14000 CAEN"
"Société Générale","Lucrative","59 RUE DE FALAISE14000 CAEN"
"Société Générale","Lucrative","130 BD MAL LECLERC14000 CAEN"
"Société Générale","Lucrative","34 RTE LA DELIVRANDE14000 CAEN"
"Société Générale","Lucrative","52 AV HENRI CHERON14000 CAEN"
"Société Générale","Lucrative","9 PL DE MORNY14800 DEAUVILLE"
"Société Générale","Lucrative","5 RUE PAUL CANTA14160 DIVES-SUR-MER"
"Société Générale","Lucrative","6 AVENUE DE LA BASILIQUE14440 DOUVRES LA DELIVRANDE"
"Société Générale","Lucrative","16 PL DU DR P.GERMAN14700 FALAISE"
"Société Générale","Lucrative","320 QUA DU VAL14200 HEROUVILLE SAINT CLAIR"
"Société Générale","Lucrative","4 RUE DES LOGETTES14600 HONFLEUR"
"Société Générale","Lucrative","9 PLACE CLAUDE DEBUSSY14123 IFS"
"Société Générale","Lucrative","23 RUE PONT MORTAIN14100 LISIEUX"
"Société Générale","Lucrative","2 RUE VOLTAIRE14270 MEZIDON-CANON"
"Société Générale","Lucrative","Z.A DE L'ETOILE14120 MONDEVILLE"
"Société Générale","Lucrative","97 RUE GRANDE14290 ORBEC"
"Société Générale","Lucrative","4 RUE AUBER14150 OUISTREHAM"
"Société Générale","Lucrative","13 PL JEAN BUREAU14130 PONT-L'EVEQUE"
"Société Générale","Lucrative","PL DU MARCHE14170 SAINT-PIERRE-EN-AUGE"
"Société Générale","Lucrative","6 RUE VICTOR HUGO14360 TROUVILLE SUR MER"
"Société Générale","Lucrative","17 RUE D'AIGNAUX14500 VIRE"
"Société Générale","Lucrative","7B PL DU SQUARE15000 AURILLAC"
"Société Générale","Lucrative","17 AV CH.PERIE15200 MAURIAC"
"Société Générale","Lucrative","8 AV G CLEMENCEAU16000 ANGOULEME"
"Société Générale","Lucrative","107 RUE DE SAINTES16000 ANGOULEME"
"Société Générale","Lucrative","11 RUE VICTOR HUGO16300 BARBEZIEUX"
"Société Générale","Lucrative","33 RUE D'ANGOULEME16100 COGNAC"
"Société Générale","Lucrative","17 RUE AUGIER16100 COGNAC"
"Société Générale","Lucrative","20 PL DU CHATEAU16200 JARNAC"
"Société Générale","Lucrative","41 RUE DE QUIERS16400 LA COURONNE"
"Société Générale","Lucrative","26 GRANDE RUE16110 LA ROCHEFOUCAULD-EN-ANGOUMOIS"
"Société Générale","Lucrative","4 AV JEAN JAURES16600 RUELLE/TOUVRE"
"Société Générale","Lucrative","14 RUE DR EMILE ROUX16700 RUFFEC"
"Société Générale","Lucrative","26 B AV CDT LISIACK17440 AYTRE"
"Société Générale","Lucrative","109-111 BD DE LA REPUBLIQUE17340 CHATELAILLON PLAGE"
"Société Générale","Lucrative","12 RUE DU PALAIS17000 LA ROCHELLE"
